sample,assay,total_seconds,success_count,frame_count,prop_success
20220208_0918_L_q2,open_field,600,17400,17400,1
20220208_0918_L_q3,open_field,600,17400,17400,1
20220208_0918_L_q4,open_field,600,17400,17400,1
20220208_0918_L_q1,novel_object,600,17400,17400,1
20220208_0918_L_q2,novel_object,600,17400,17400,1
20220208_0918_L_q3,novel_object,600,17400,17400,1
20220208_0918_L_q4,novel_object,600,17400,17400,1
20220208_0920_R_q1,open_field,600,17400,17400,1
20220208_0920_R_q2,open_field,600,17400,17400,1
20220208_0920_R_q3,open_field,600,17400,17400,1
20220208_0920_R_q4,open_field,600,17400,17400,1
20220208_0920_R_q1,novel_object,600,17400,17400,1
20220208_0920_R_q2,novel_object,600,17400,17400,1
20220208_0920_R_q3,novel_object,600,17400,17400,1
20220208_0920_R_q4,novel_object,600,17400,17400,1
20220214_1411_L_q1,open_field,600,17400,17400,1
20220214_1411_L_q2,open_field,600,17400,17400,1
20220214_1411_L_q3,open_field,600,17400,17400,1
20220214_1411_L_q4,open_field,600,17400,17400,1
20220214_1411_L_q1,novel_object,600,17400,17400,1
20220214_1411_L_q2,novel_object,600,17400,17400,1
20220214_1411_L_q3,novel_object,600,17400,17400,1
20220214_1411_L_q4,novel_object,600,17400,17400,1
20220214_1424_R_q1,open_field,600,17400,17400,1
20220214_1424_R_q2,open_field,600,17400,17400,1
20220214_1424_R_q4,open_field,600,17400,17400,1
20220214_1424_R_q1,novel_object,600,17400,17400,1
20220214_1424_R_q2,novel_object,600,17400,17400,1
20220214_1424_R_q3,novel_object,600,17400,17400,1
20220214_1424_R_q4,novel_object,600,17400,17400,1
20220215_1353_L_q1,open_field,600,17400,17400,1
20220215_1353_L_q2,open_field,600,17400,17400,1
20220215_1353_L_q4,open_field,600,17400,17400,1
20220215_1353_L_q1,novel_object,600,17400,17400,1
20220215_1353_L_q2,novel_object,600,17400,17400,1
20220215_1353_L_q4,novel_object,600,17400,17400,1
20220215_1355_R_q1,open_field,600,17400,17400,1
20220215_1355_R_q3,open_field,600,17400,17400,1
20220215_1355_R_q1,novel_object,600,17400,17400,1
20220216_1338_L_q1,open_field,600,17400,17400,1
